program_studi,bidang_ilmu_id
Tata Operasi Perakitan Kendaraan Roda 4,10
Teknik  Industri,10
Teknik  Mesin,10
Teknik & Manajemen Logistik Penerbangan,10
Teknik & Manajemen Pembekalan,10
Teknik Aeronautika,10
Teknik Aeronautika Pertahanan,10
Teknik Air Tanah,10
TEKNIK ALAT BERAT,10
Teknik Alat Berat (Kampus Kab Paser),10
Teknik Alat Berat (Kampus Kab. Nunukan),10
Teknik Alat Berat (Kampus Kota Bontang),10
Teknik Analisis Lab Minyak Dan Gas,10
TEKNIK ARSITEKTUR,10
Teknik Bangunan,10
Teknik Bangunan dan Jalur Perkeretaapian,10
Teknik Bangunan dan Landasan,10
Teknik Bangunan Kapal,10
Teknik Bangunan Rawa,10
Teknik Bioenergi dan Kemurgi,10
Teknik Bioproses,10
Teknik Biosistem,10
Teknik dan Manajemen Industri,10
Teknik Desain Dan Manufaktur,10
Teknik Dirgantara,10
Teknik Ekonomi Konstruksi,10
Teknik Eksplorasi Produksi Minyak Dan Gas,10
Teknik Elektro,10
Teknik Elektro (Kampus Kabupaten Banyumas),10
Teknik Elektro (Kampus Kota Bandung),10
Teknik Elektro (Kampus Kota Surabaya),10
Teknik Elektro dan Informatika,10
Teknik Elektro Industri,10
Teknik Elektro Industri Kampus PT Pembangkit jawa-Bali,10
Teknik Elektro K Jembrana,10
Teknik Elektro Kampus Kab. lahat,10
Teknik Elektro Komputer Kontrol,10
Teknik Elektro Medik,10
Teknik Elektro Perkeretaapian,10
Teknik Elektromedik,10
Teknik Elektromedis,10
Teknik Elektronika,10
Teknik Elektronika (Kampus Tuban),10
Teknik Elektronika Industri,10
Teknik Elektronika K. Aceh Barat,10
Teknik Elektronika Kampus Kab Pariaman,10
Teknik Elektronika Kampus PT Pembangkit Jawa-Bali,10
Teknik Elektronika Kapal Perang,10
Teknik Elektronika Manufaktur,10
Teknik Elektronika Pertahanan,10
Teknik Elektronika Sistem Senjata,10
Teknik Energi,10
Teknik Energi Terbarukan,10
Teknik Fisika ,10
Teknik Geodesi,10
Teknik Geodesi & Geomatika,10
Teknik Geodesi Dan Geomatika,10
Teknik Geofisika,10
Teknik Geologi,10
Teknik Geologi Terapan,10
Teknik Geomatika,10
Teknik Geotermal,10
Teknik Grafika Kab. Demak,10
