program_studi,bidang_ilmu_id
Pendidikan Pancasila dan Kewarganegaraan	,6
Pendidikan Pancasila Dan Kewarganegaraan,6
Pendidikan Pancasila dan Kewarganegaraan (Kampus Blitar),6
Pendidikan Pancasila dan Kewarganegaraan (Kampus Lamongan),6
Pendidikan Pancasila dan Kewarganegraan,6
Pendidikan Profesi Guru,6
Pendidikan Profesi Guru Dalam Jabatan,6
Pendidikan Profesi Guru Keagamaan,6
Pendidikan Profesi Guru SD,6
Pendidikan Profesi Guru SMK,6
Pendidikan Profesi Guru.,6
Pendidikan Profesi Konselor,6
Pendidikan Sains,6
Pendidikan Sastra Agama dan Bahasa Bali,6
Pendidikan Sejarah,6
Pendidikan Sejarah Dan Sosiologi,6
Pendidikan Seni,6
Pendidikan Seni Budaya,6
Pendidikan Seni dan Keagamaan,6
Pendidikan Seni Drama Tari dan Musik,6
"Pendidikan Seni Drama, Tari Dan Musik",6
Pendidikan Seni Musik,6
Pendidikan Seni Pertunjukan,6
Pendidikan Seni Rupa,6
Pendidikan Seni Tari,6
Pendidikan Seni Tari Dan Musik,6
"Pendidikan Seni, Drama, Tari, dan Musik",6
Pendidikan Sosiologi,6
Pendidikan Sosiologi Antropologi,6
Pendidikan Sosiologi Dan Antropologi,6
Pendidikan Tari,6
Pendidikan Tata Boga,6
Pendidikan Tata Busana,6
Pendidikan Tata Kecantikan,6
Pendidikan Tata Niaga,6
Pendidikan Tata Rias,6
Pendidikan Tata Rias Dan Kecantikan,6
Pendidikan Tekn. Informasi & Komunikasi,6
Pendidikan Teknik Arsitektur,6
Pendidikan Teknik Bangunan,6
Pendidikan Teknik elektro,6
Pendidikan Teknik Elektronika,6
Pendidikan Teknik Elektronika dan Informatika,6
Pendidikan Teknik Informatika,6
Pendidikan Teknik Informatika & Komputer,6
Pendidikan Teknik Informatika dan Komputer,6
Pendidikan Teknik Mesin,6
Pendidikan Teknik Otomotif,6
Pendidikan Teknik Sipil dan Perencanaan,6
Pendidikan Teknologi Agroindustri,6
Pendidikan Teknologi dan Kejuruan,6
Pendidikan Teknologi Informasi,6
Pendidikan Teknologi Informasi dan Komputer,6
Pendidikan Teknologi Informasi dan Komunikasi,6
Pendidikan Teknologi Informatika dan Komputer,6
Pendidikan Teologi,6
Pendidikan Umum dan Karakter,6
Pendidikan Vokasi,6
Pendidikan Vokasi Keteknikan,6
Pendidikan Vokasional Desain Fashion,6
Pendidikan Vokasional Informatika,6
Pendidikan Vokasional Kesejahteraan Keluarga,6
Pendidikan Vokasional Konstruksi Bangunan,6
Pendidikan Vokasional Seni Kuliner,6
Pendidikan Vokasional Teknik Elektro,6
Pendidikan Vokasional Teknik Elektronika,6
Pendidikan Vokasional Teknik Mesin,6
Pendidikan Vokasional Teknologi Otomotif,6
"Pendidikan, Jasmani Kesehatan dan Rekreasi",6
Pendidkan Teknik Otomotif,6
Pendikan Luar Sekolah,6
Penelitian Dan Evaluasi Pendidikan,6
Penelitian dan Pengukuran Pendidikan,6
Pengajaran Fisika,6
Pengajaran Kimia,6
Pengajaran Matematika,6
Pengembangan Kurikulum,6
Penjaminan Mutu Pendidikan,6
PG PAUD,6
PG Pendidikan Anak Usia Dini,6
PGMI,6
PGPAUD Kampus Cibiru,6
PGPAUD Kampus Purwakarta,6
PGPAUD Kampus Serang,6
PGPAUD Kampus Tasikmalaya,6
PGRA,6
PGSD,6
PGSD Kampus Cibiru,6
PGSD Kampus Purwakarta,6
PGSD Kampus Serang,6
PGSD Kampus Sumedang,6
PGSD Kampus Tasikmalaya,6
PGSD Pendidikan Jasmani,6
PGSD Penjas Kampus Sumedang,6
PJJ Pendidikan Guru Sekolah Dasar,6
Profesi Guru,6
Program Pendidikan Profesi Guru,6
Psikologi Pendidikan,6
Psikologi Pendidikan Islam,6
"PSKGJ Pend. Jasmani, Kesehatan & Rekreasi",6
