program_studi,bidang_ilmu_id
Teknologi Hasil Pertanian Kab. Lembata,7
Teknologi Industri Benih,7
Teknologi industri benih Kab Aceh Tamiang,7
Teknologi industri benih Kep. Yapen,7
Teknologi Industri dan Manajemen Perikanan Budidaya,7
Teknologi Industri dan manajemen Perikanan Budidaya Kab. Aceh Tamiang,7
Teknologi Industri Hortikultura,7
Teknologi Industri Pangan,7
Teknologi Industri Pangan K. Bondowoso,7
Teknologi Industri Pangan K. Nganjuk,7
Teknologi Industri Pangan K. Sidoarjo,7
Teknologi Industri Pangan K. Situbondo,7
Teknologi Industri Pangan K. Temanggung,7
Teknologi Industri Pertanian,7
Teknologi Kayu,7
Teknologi Kelautan,7
Teknologi Mekanisasi Pertanian,7
Teknologi Pakan Ternak,7
Teknologi Pangan,7
Teknologi Pangan (Kampus Kab Aceh Barat Daya),7
Teknologi Pangan (Kampus Kab. Banyuasin),7
Teknologi Pangan (Kampus Kab. Cianjur),7
Teknologi Pangan (Kampus Kab. Pidie Jaya),7
Teknologi Pangan (Kampus Kab. Sabu Raijua),7
Teknologi Pangan (Kampus Kab. Sibolga),7
Teknologi Pangan (Kampus Kab.Kepulauan Mentawai),7
Teknologi Pangan dan Hasil Pertanian,7
Teknologi Pangan K. Sumbawa,7
Teknologi Pasca Panen,7
Teknologi Pascapanen,7
Teknologi Pemanfaatan Sumber Daya Kelautan,7
Teknologi Pembenihan Ikan,7
Teknologi Penangkapan Ikan,7
Teknologi Pengelolaan Sumberdaya Perairan,7
Teknologi Pengolahan,7
Teknologi Pengolahan Hasil Bumi,7
Teknologi Pengolahan Hasil Laut,7
Teknologi Pengolahan Hasil Perekebunan,7
Teknologi Pengolahan Hasil Perikanan,7
Teknologi Pengolahan Hasil Perikanan (Kampus Kab. Banggai Kepulauan),7
Teknologi Pengolahan Hasil Perikanan (Kampus Kab.Buru),7
Teknologi Pengolahan Hasil Perkebunan,7
Teknologi Pengolahan Hasil Perkebunan (Kampus Kab. Kapuas Hulu),7
"Teknologi Pengolahan Hasil Perkebunan,(Kampus Kab. Singkawang)",7
Teknologi Pengolahan Hasil Ternak,7
Teknologi Pengolahan Kulit,7
Teknologi Pengolahan Pulp dan Kertas,7
Teknologi Pengolahan Sawit,7
Teknologi Perbenihan,7
Teknologi Perikanan Laut,7
TEKNOLOGI PERTANIAN,7
Teknologi Produksi,7
Teknologi Produksi Benih dan Pakan Ikan,7
Teknologi Produksi Dan Manajemen Perikanan Budidaya,7
Teknologi Produksi dan manajemen Perikanan Budidaya kab Lembata,7
Teknologi Produksi dan Pengembangan Masyarakat Pertanian,7
Teknologi Produksi Pertanian,7
TEKNOLOGI PRODUKSI TANAMAN HORTIKULTURA,7
Teknologi Produksi Tanaman Pangan,7
Teknologi Produksi Tanaman Perkebunan,7
Teknologi Produksi Ternak,7
Teknologi Produksi Ternak Unggas,7
Teknologi Rekayasa Pangan,7
Teknologi Serat Dan Komposit,7
Usaha Budi Daya Ternak,7
